location,chamber,surface_type,trigger,current_copy,defect,replacement,status,verification_result
macos/Sources/Atrium/Support/UpdaterService.swift:131,user,native application,rendered or emitted by the containing control or operation,Atrium could not check for updates. Check your internet connection and try again.,None after audit.,Atrium could not check for updates. Check your internet connection and try again.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:143,user,native application,rendered or emitted by the containing control or operation,Downloading Atrium \(version)…,None after audit.,Downloading Atrium \(version)…,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:149,user,native application,rendered or emitted by the containing control or operation,Relaunching Atrium \(version)…,None after audit.,Relaunching Atrium \(version)…,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:155,user,native application,rendered or emitted by the containing control or operation,target_version=\(version),None after audit.,target_version=\(version),blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:166,user,native application,rendered or emitted by the containing control or operation,/bin/sh,None after audit.,/bin/sh,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:167,user,native application,rendered or emitted by the containing control or operation,sleep 1; open '/Applications/Atrium.app',None after audit.,sleep 1; open '/Applications/Atrium.app',blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:174,user,native application,rendered or emitted by the containing control or operation,The update stopped. Atrium is still on the current version. Try again later.,None after audit.,The update stopped. Atrium is still on the current version. Try again later.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:178,user,native application,rendered or emitted by the containing control or operation,Atrium cannot use this update. Try again later.,None after audit.,Atrium cannot use this update. Try again later.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:180,user,native application,rendered or emitted by the containing control or operation,The update could not download. Check your internet connection and try again.,None after audit.,The update could not download. Check your internet connection and try again.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:182,user,native application,rendered or emitted by the containing control or operation,Atrium could not open the downloaded update. Try again.,None after audit.,Atrium could not open the downloaded update. Try again.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:184,user,native application,rendered or emitted by the containing control or operation,This update is incomplete and cannot be installed. Try again later.,None after audit.,This update is incomplete and cannot be installed. Try again later.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:186,user,native application,rendered or emitted by the containing control or operation,"Atrium could not install the update. Your current version is unchanged. Quit other copies of Atrium, then try again.",None after audit.,"Atrium could not install the update. Your current version is unchanged. Quit other copies of Atrium, then try again.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:194,user,native application,rendered or emitted by the containing control or operation,The update service returned an unknown status.,None after audit.,The update service returned an unknown status.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:58,user,native application,rendered or emitted by the containing control or operation,Checking for updates…,None after audit.,Checking for updates…,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:62,user,native application,rendered or emitted by the containing control or operation,Installing update…,None after audit.,Installing update…,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:66,user,native application,rendered or emitted by the containing control or operation,Check for updates…,None after audit.,Check for updates…,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:84,user,native application,rendered or emitted by the containing control or operation,Atrium checks for updates automatically when enabled.,None after audit.,Atrium checks for updates automatically when enabled.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:85,user,native application,rendered or emitted by the containing control or operation,Checking for updates…,None after audit.,Checking for updates…,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:86,user,native application,rendered or emitted by the containing control or operation,Atrium \(currentVersion) is up to date.,None after audit.,Atrium \(currentVersion) is up to date.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Support/UpdaterService.swift:87,user,native application,rendered or emitted by the containing control or operation,Atrium version \(version) is available.,None after audit.,Atrium version \(version) is available.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/AskView.swift,user,Ask interface,Ask view and result states,Find answers grounded in cited meeting transcript evidence. | Local retrieval | evidence.id | answer.provider · answer.model,Technical terms and internal identifiers crossed into the narrative chamber.,"Find answers from your meeting transcripts, with citations. | Searches this Mac | no internal ID or provider/model attribution",verified,Replacement present in source; warnings-as-errors suite passed. Default Home and Ask insufficient-evidence states were inspected in the native app where applicable.
macos/Sources/Atrium/Views/AskView.swift,user,Ask empty and progress states,Ask search has no result or is active,No supporting evidence | Generating an evidence-bound answer,Technical language did not give the clearest next step.,Not enough information found | Writing an answer from your transcripts…,verified,Replacement present in source; warnings-as-errors suite passed. Default Home and Ask insufficient-evidence states were inspected in the native app where applicable.
macos/Sources/Atrium/Views/AskView.swift:109,user,native application,rendered or emitted by the containing control or operation,Ask across your meeting history,None after audit.,Ask across your meeting history,verified,Observed in the rebuilt native Ask idle or insufficient-evidence state and compiled by the full test suite.
macos/Sources/Atrium/Views/AskView.swift:111,user,native application,rendered or emitted by the containing control or operation,Atrium searches your transcripts and cites the source for each part of the answer.,None after audit.,Atrium searches your transcripts and cites the source for each part of the answer.,verified,Observed in the rebuilt native Ask idle or insufficient-evidence state and compiled by the full test suite.
macos/Sources/Atrium/Views/AskView.swift:116,user,native application,rendered or emitted by the containing control or operation,Searching your transcripts…,None after audit.,Searching your transcripts…,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/AskView.swift:121,user,native application,rendered or emitted by the containing control or operation,Leaves this Mac,None after audit.,Leaves this Mac,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/AskView.swift:127,user,native application,rendered or emitted by the containing control or operation,Your question and the selected transcript excerpts will leave this Mac. Atrium will remember your choice until you quit the app.,None after audit.,Your question and the selected transcript excerpts will leave this Mac. Atrium will remember your choice until you quit the app.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/AskView.swift:131,user,native application,rendered or emitted by the containing control or operation,Send and Answer,None after audit.,Send and Answer,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/AskView.swift:141,user,native application,rendered or emitted by the containing control or operation,Not enough information found,None after audit.,Not enough information found,verified,Observed in the rebuilt native Ask idle or insufficient-evidence state and compiled by the full test suite.
macos/Sources/Atrium/Views/AskView.swift:148,user,native application,rendered or emitted by the containing control or operation,Writing an answer from your transcripts…,None after audit.,Writing an answer from your transcripts…,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/AskView.swift:152,user,native application,rendered or emitted by the containing control or operation,Atrium could not answer,None after audit.,Atrium could not answer,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/AskView.swift:19,user,native application,rendered or emitted by the containing control or operation,Ask Atrium,None after audit.,Ask Atrium,verified,Observed in the rebuilt native Ask idle or insufficient-evidence state and compiled by the full test suite.
macos/Sources/Atrium/Views/AskView.swift:20,user,native application,rendered or emitted by the containing control or operation,"Find answers from your meeting transcripts, with citations.",None after audit.,"Find answers from your meeting transcripts, with citations.",verified,Observed in the rebuilt native Ask idle or insufficient-evidence state and compiled by the full test suite.
macos/Sources/Atrium/Views/AskView.swift:208,user,native application,rendered or emitted by the containing control or operation,All meetings,None after audit.,All meetings,verified,Observed in the rebuilt native Ask idle or insufficient-evidence state and compiled by the full test suite.
macos/Sources/Atrium/Views/AskView.swift:209,user,native application,rendered or emitted by the containing control or operation,) selected,None after audit.,) selected,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/AskView.swift:23,user,native application,rendered or emitted by the containing control or operation,Searches this Mac,None after audit.,Searches this Mac,verified,Observed in the rebuilt native Ask idle or insufficient-evidence state and compiled by the full test suite.
macos/Sources/Atrium/Views/AskView.swift:235,user,native application,rendered or emitted by the containing control or operation,Open citation,None after audit.,Open citation,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/AskView.swift:260,user,native application,rendered or emitted by the containing control or operation,\(citation.meetingTitle) · \(citation.timestamp),None after audit.,\(citation.meetingTitle) · \(citation.timestamp),blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/AskView.swift:38,user,native application,rendered or emitted by the containing control or operation,Ask Atrium,None after audit.,Ask Atrium,verified,Observed in the rebuilt native Ask idle or insufficient-evidence state and compiled by the full test suite.
macos/Sources/Atrium/Views/AskView.swift:59,user,native application,rendered or emitted by the containing control or operation,All meetings,None after audit.,All meetings,verified,Observed in the rebuilt native Ask idle or insufficient-evidence state and compiled by the full test suite.
macos/Sources/Atrium/Views/AskView.swift:80,user,native application,rendered or emitted by the containing control or operation,Limit by date,None after audit.,Limit by date,verified,Observed in the rebuilt native Ask idle or insufficient-evidence state and compiled by the full test suite.
macos/Sources/Atrium/Views/AskView.swift:90,user,native application,rendered or emitted by the containing control or operation,Ask Atrium,None after audit.,Ask Atrium,verified,Observed in the rebuilt native Ask idle or insufficient-evidence state and compiled by the full test suite.
macos/Sources/Atrium/Views/BrandStyle.swift:102,user,native application,rendered or emitted by the containing control or operation,Dark · Midnight,None after audit.,Dark · Midnight,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/BrandStyle.swift:103,user,native application,rendered or emitted by the containing control or operation,Light + Dark,None after audit.,Light + Dark,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/BrandStyle.swift:104,user,native application,rendered or emitted by the containing control or operation,Dark · Purple,None after audit.,Dark · Purple,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/ActivityRow.swift:19,user,native application,rendered or emitted by the containing control or operation,\(headline),None after audit.,\(headline),blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/ActivityRow.swift:51,user,native application,rendered or emitted by the containing control or operation, \(event.what),None after audit., \(event.what),blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/ActivityRow.swift:52,user,native application,rendered or emitted by the containing control or operation,\(who)\(what),None after audit.,\(who)\(what),blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/ActivityView.swift:14,user,native application,rendered or emitted by the containing control or operation,"Everything that happened in the shared workspace, newest first.",None after audit.,"Everything that happened in the shared workspace, newest first.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/ActivityView.swift:16,user,native application,rendered or emitted by the containing control or operation,Mark all read,None after audit.,Mark all read,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/ActivityView.swift:24,user,native application,rendered or emitted by the containing control or operation,No activity,None after audit.,No activity,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/ActivityView.swift:26,user,native application,rendered or emitted by the containing control or operation,"Shares, agent runs, and comments from the shared workspace appear here, newest first.",None after audit.,"Shares, agent runs, and comments from the shared workspace appear here, newest first.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/AgentChatBubble.swift:14,user,native application,rendered or emitted by the containing control or operation,"\(message.author) · \(message.sentAt, format: .dateTime.hour().minute())",None after audit.,"\(message.author) · \(message.sentAt, format: .dateTime.hour().minute())",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/AgentRosterCard.swift:35,user,native application,rendered or emitted by the containing control or operation,\(agent.runsToday) runs today,None after audit.,\(agent.runsToday) runs today,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/AgentRosterCard.swift:37,user,native application,rendered or emitted by the containing control or operation,"Last run \(lastRun, format: .relative(presentation: .numeric))",None after audit.,"Last run \(lastRun, format: .relative(presentation: .numeric))",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/AgentThread.swift:33,user,native application,rendered or emitted by the containing control or operation,\(agent.role) · visible to the whole company,None after audit.,\(agent.role) · visible to the whole company,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/AgentThread.swift:48,user,native application,rendered or emitted by the containing control or operation,No messages,None after audit.,No messages,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/AgentThread.swift:50,user,native application,rendered or emitted by the containing control or operation,Messages to \(agent.name) are visible to the whole company.,None after audit.,Messages to \(agent.name) are visible to the whole company.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/AgentThread.swift:70,user,native application,rendered or emitted by the containing control or operation,Message \(agent.name),None after audit.,Message \(agent.name),blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/AgentThread.swift:72,user,native application,rendered or emitted by the containing control or operation,Message \(agent.name) — the whole team can see this thread,None after audit.,Message \(agent.name) — the whole team can see this thread,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/AgentThread.swift:90,user,native application,rendered or emitted by the containing control or operation,Connect the Company Hub to message agents.,None after audit.,Connect the Company Hub to message agents.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/AgentsView.swift:15,user,native application,rendered or emitted by the containing control or operation,No agents,None after audit.,No agents,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/AgentsView.swift:17,user,native application,rendered or emitted by the containing control or operation,"Company agents, their runs, and their company-visible chat threads appear here.",None after audit.,"Company agents, their runs, and their company-visible chat threads appear here.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/AgentsView.swift:53,user,native application,rendered or emitted by the containing control or operation,"Company agents work alongside the team. Chat with them, watch their runs, and review their output.",None after audit.,"Company agents work alongside the team. Chat with them, watch their runs, and review their output.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/AgentsView.swift:64,user,native application,rendered or emitted by the containing control or operation,Not connected,None after audit.,Not connected,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/AgentsView.swift:65,user,native application,rendered or emitted by the containing control or operation,\(hub.agents.count) agents · \(hub.runningAgentCount) running,None after audit.,\(hub.agents.count) agents · \(hub.runningAgentCount) running,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/CompanyAgentColumn.swift:4,user,native application,rendered or emitted by the containing control or operation,Shared today,None after audit.,Shared today,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/CompanyAgentPanel.swift:14,user,native application,rendered or emitted by the containing control or operation,Open Agents,None after audit.,Open Agents,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/CompanyAgentPanel.swift:21,user,native application,rendered or emitted by the containing control or operation,No agents,None after audit.,No agents,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/CompanyAgentPanel.swift:23,user,native application,rendered or emitted by the containing control or operation,Company agents and their current work appear here.,None after audit.,Company agents and their current work appear here.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/CompanyDashboardView.swift:14,user,native application,rendered or emitted by the containing control or operation,Company today,None after audit.,Company today,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/CompanyDashboardView.swift:15,user,native application,rendered or emitted by the containing control or operation,"What Ubundi and First Motive shared, decided, and ran — across people and agents.",None after audit.,"What Ubundi and First Motive shared, decided, and ran — across people and agents.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/CompanyDashboardView.swift:18,user,native application,rendered or emitted by the containing control or operation,Not connected,None after audit.,Not connected,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/CompanyDashboardView.swift:18,user,native application,rendered or emitted by the containing control or operation,Shared workspace,None after audit.,Shared workspace,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/CompanyDashboardView.swift:26,user,native application,rendered or emitted by the containing control or operation,No company activity yet,None after audit.,No company activity yet,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/CompanyDashboardView.swift:28,user,native application,rendered or emitted by the containing control or operation,"Shared meetings, agent runs, and open action items across both companies appear here.",None after audit.,"Shared meetings, agent runs, and open action items across both companies appear here.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/CompanyDashboardView.swift:48,user,native application,rendered or emitted by the containing control or operation,Only meetings and notes their owners chose to share appear here. Everything else stays on each person's Mac.,None after audit.,Only meetings and notes their owners chose to share appear here. Everything else stays on each person's Mac.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/Components/HubEmptyState.swift:37,user,native application,rendered or emitted by the containing control or operation,"\(appears) The Company Hub is not connected, so nothing is shared yet.",None after audit.,"\(appears) The Company Hub is not connected, so nothing is shared yet.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/Components/HubStatusDot.swift:18,user,native application,rendered or emitted by the containing control or operation,Status: \(title),None after audit.,Status: \(title),blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/LatestActivityPanel.swift:14,user,native application,rendered or emitted by the containing control or operation,Latest activity,None after audit.,Latest activity,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/LatestActivityPanel.swift:20,user,native application,rendered or emitted by the containing control or operation,Shared workspace activity appears here.,None after audit.,Shared workspace activity appears here.,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/LatestActivityPanel.swift:30,user,native application,rendered or emitted by the containing control or operation,\(line(for: event)),None after audit.,\(line(for: event)),blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/LatestActivityPanel.swift:39,user,native application,rendered or emitted by the containing control or operation,All activity,None after audit.,All activity,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/LatestActivityPanel.swift:48,user,native application,rendered or emitted by the containing control or operation, \(event.what) · ,None after audit., \(event.what) · ,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/LatestActivityPanel.swift:51,user,native application,rendered or emitted by the containing control or operation,\(who)\(what)\(when),None after audit.,\(who)\(what)\(when),blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/PeopleView.swift:16,user,native application,rendered or emitted by the containing control or operation,"Everyone across Ubundi and First Motive, with what they work on now.",None after audit.,"Everyone across Ubundi and First Motive, with what they work on now.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/PeopleView.swift:25,user,native application,rendered or emitted by the containing control or operation,No people,None after audit.,No people,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/PeopleView.swift:27,user,native application,rendered or emitted by the containing control or operation,"Everyone in the shared workspace, their role, and their current focus appear here.",None after audit.,"Everyone in the shared workspace, their role, and their current focus appear here.",blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/PeopleView.swift:44,user,native application,rendered or emitted by the containing control or operation,Not connected,None after audit.,Not connected,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
macos/Sources/Atrium/Views/CompanyHub/PeopleView.swift:46,user,native application,rendered or emitted by the containing control or operation,\(hub.people.count - agents) people · \(agents) agents,None after audit.,\(hub.people.count - agents) people · \(agents) agents,blocked_runtime_not_exercised,Source inventoried and compiled; this exact runtime state was not exercised.
